Yield
79
70
85
84
78
76
89
81
72
78
84
75
74
74
77
80
72
78
80
75
78
86
84
85
84
76
82
78
81
82
74
69
83
81
83
73
80
82
78
75
81
86
72
80
88
73
83
87
80
83
74
74
80
74
80
80
87
62
88
70
98
68
80
80
84
83
80
88
73
77
89
73
85
85
77
81
69
87
74
81
69
90
71
81
72
92
79
81
77
77
98
70
83
76
69
83
68
91
82
78
81
81
78
82
76
91
72
92
65
81
89
71
89
73
83
80
72
81
83
75
83
82
74
90
71
94
77
82
93
74
80
82
68
72
69
79
77
88
70
73
92
81
74
88
71
89
82
74
80
86
90
78
81
79
88
85
76
81
85
72
81
91
85
75
74
75
81
77
84
90
73
84
69
83
84
78
87
82
91
74
80
90
80
77
73
78
84
79
76
74
84
78
79
72
83
85
73
87
76
81
80
83
76
83
83
76
74
80
83
76
79
80
70
80
79
80
97
71
90
76
87
81
84
85
78
68
76
88
75
88
83
73
74
79
78
88
73
90
62
88
85
80
82
77
86
71
88
72
79
75
78
62
82
70
95
83
81
92
75
91
78
91
81
88
81
80
66
85
81
83
80
78
85
73
82
77
72
92
90
83
72
84
80
80
91
80
80
83
80
68
92
73
80
81
87
69
81
73
78
80
